train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
0.817969666201021,0.6198308611177243,0.8439216979190234,0.619237092607176,0.0001
0.6661576135137487,0.7170943444401889,0.7858687825369329,0.6507508876638897,0.0001
0.5766922204436582,0.7627846153315322,0.6303596593860813,0.7396554344372142,0.0001
0.4946340813015734,0.8040031605715252,0.5524239917466739,0.7799560658183777,0.0001
0.44266904404358093,0.8289599442414456,0.550679964862448,0.7853718517290449,0.0001
0.40668748432963625,0.8460049478816235,0.49448651108930264,0.8088172310412953,0.0001
0.37968737178422496,0.8579053967793914,0.46505961534583634,0.8214586700929802,0.0001
0.3588201171909737,0.867138682152087,0.469049538939849,0.8256034042082867,0.0001
0.3426931138070214,0.8736150934542355,0.5273393404475897,0.8102678879816526,0.0001
0.3282769009109101,0.8795221878331798,0.4864908450747126,0.8228955112529531,0.0001
0.31535197590492153,0.8853602741002204,0.4913254259680743,0.8285599812105386,5e-05
0.28962373069053715,0.8954699624940912,0.46825822237253767,0.8330086624943009,5e-05
0.28191186062679124,0.8980784691240455,0.47280315300219367,0.8327876100081513,5e-05
0.27565741358411233,0.9007973887330456,0.453947487083188,0.8363106340061618,5e-05
0.2695928381505128,0.9027123638383692,0.46553385771758354,0.8375816858015225,5e-05
0.26506436255001864,0.904261595950604,0.503305275941781,0.8336165568312126,5e-05
0.2603346148008279,0.9066527270280621,0.48580601902566717,0.8361448446415496,5e-05
0.255393134725278,0.9079673315598249,0.48665983006094876,0.8357303712300189,2.5e-05
0.24255081103337522,0.9129324652112856,0.522307177610669,0.8313507688481784,2.5e-05
0.23891576859795757,0.9143057266381663,0.5235995402964417,0.8370428703665327,2.5e-05
